model,target,mae,rmse,within_threshold_share,max_abs_error,asymmetric_cost,quality_gate_passed
arimax,Balance,3.3755550438163696e-16,4.3708528049004683e-16,1.0,1.1102230246251565e-15,3.484363291316125e-16,True
dual_target_elasticnet,Balance,0.004013356302336341,0.004876875671864352,1.0,0.010046697952677236,0.004146679166428512,True
dual_target_ridge,Balance,0.00402501659324805,0.004896402370690114,1.0,0.00999997839839345,0.004157913919764354,True
dual_target_lasso,Balance,0.004045147229747789,0.004895168434710122,1.0,0.00996718337873996,0.0041795682209422435,True
dual_target_gradient_boosting,Balance,0.05003106381751057,0.08358554673293189,1.0,0.40759566781165124,0.06130814282482333,True
dual_target_extra_trees,Balance,0.05464481249999901,0.09354087256548493,1.0,0.3667549999999973,0.060967789473683046,True
dual_target_random_forest,Balance,0.05936069234004408,0.11403539017232883,0.9875,0.6093924828855788,0.06609311322137974,True
arima,Balance,0.23930833021375064,0.3241571627628883,0.8625,1.4091527183282335,0.28076709257920573,True
sarima,Balance,0.24228291383838654,0.3283515432247247,0.8625,1.475272185256616,0.39947479140301956,True
dual_target_naive,Balance,0.2926874999999999,0.349132263619391,0.75,1.0640000000000003,0.4499210526315788,True
